0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1.2848159,-0.21995105,0.01152794,0.036584757,-0.057257436,-0.7571478,-0.838567,0.31012845,-0.5267457,-0.64816886,0.25018367,-0.941238,0.44560406,-0.166913,-0.021114057,0.29131496,-0.5163098,0.194179,-0.027093342,0.44606006,1.3359009,-0.060406443,0.1770952,-1.5099983,-0.23434626,0.48812458,-0.5466686,0.5341032,0.79325783,0.11835888,-0.03420534,-0.14750749,-0.31676403,-0.47414243,-0.016047282,-0.5532489,-0.29456842,-0.012099992,0.21032235,0.24703267,0.23131739,0.33136413,-0.2889642,-0.1734565,0.2248708,-0.4688952,-0.2606781,-0.034400426,-0.18203026,0.4174373,0.21159472,0.6007904,0.64767426,0.9490388,0.003785765,-0.3430048,-0.14481315,-0.4012897,-0.13968581,0.02083541,-0.3786482,-0.1747438,-0.25396347,-0.7356674
0.7736605,0.37221128,0.18658891,0.36928606,0.19765109,-0.91131866,-0.4546085,0.32804063,-0.64377016,-0.2970078,0.36356574,-0.8315303,0.30520368,0.13422395,-0.24305718,-0.06184558,-0.42851728,0.2368317,0.3148424,0.41248515,0.83472735,0.1744903,0.5411468,-1.0261734,-0.39386767,0.22127807,-0.5142451,-0.25514418,0.55412656,0.39325342,0.035563726,-0.31272927,0.03213998,-0.20752677,0.071973205,-0.04993966,-0.19286631,0.12215342,0.2839324,0.112070896,-0.027401706,0.24221016,-0.29459572,-0.05833736,0.22560084,-0.39965248,-0.18450144,0.12703703,-0.19372065,0.37086564,0.44498414,0.40295804,0.64358985,0.9388541,0.050179154,0.012473497,-0.00039318833,-0.42404446,-0.1048348,0.249453,-0.6914981,-0.38540572,-0.19720311,-0.8846339
0.013794787,0.0055204295,-0.0007840339,-0.013323382,-0.010417068,0.004730854,0.004797602,0.014714232,-0.012065636,0.012014184,-0.0050997306,0.010419643,0.0010088868,0.009809874,0.009744082,-0.01214421,0.0011761766,-0.004692165,0.013598232,-0.005361583,-0.006554628,0.015363356,-0.013430508,-0.01554748,0.00803961,0.007748872,0.0061501265,0.0061199088,0.0075595863,-0.009998571,0.008923082,0.011929613,0.0036811847,0.0013152212,0.008925926,-0.0015610531,-0.015067434,-0.010049462,-0.0052911043,-0.003833538,-0.007394856,0.0018469971,0.0038617644,0.0022509973,0.00571521,-0.001391368,-0.008676544,0.0033323914,-0.015465701,0.012923952,-0.01325094,0.007539941,0.01401479,0.0049428046,0.008189922,-0.007114373,0.0076997466,0.0020134915,-0.013325922,0.00221516,-0.003905166,-0.003441548,0.0002677478,-0.011673288
0.6261795,-0.1351368,0.6787195,-0.22212845,-0.021241548,-1.4121157,-0.6463131,0.2110658,-0.40966582,-0.59941274,0.45859936,-0.5840458,0.43043327,0.30193338,0.09827161,0.48357415,-0.325368,-0.021089425,-0.20577835,0.46556658,1.1975183,0.4048148,0.03196009,-1.3253607,-0.17297393,0.33551496,-0.62130755,0.3597272,0.79099095,0.5550937,0.08138666,-0.3005468,-0.012735877,-0.48590127,0.36773708,-0.22437273,-0.2091956,-0.057011086,-0.22986937,0.38785508,-0.08168166,0.03911393,-0.3731113,-0.3600867,0.29602122,-0.527102,-0.15938005,-0.08266035,-0.049831975,0.110907264,0.34341967,1.1582745,0.35141283,0.99884,0.23672657,-0.0064983224,0.0260981,-0.48627457,-0.23511492,0.37735587,-0.7170741,-0.075675555,0.13353269,-0.87456536
0.84164184,0.6155454,-0.070080124,0.26629356,-0.2535233,-0.80420804,-0.5622198,0.5678088,-0.59972847,-0.13798694,0.68420076,-1.303814,0.26113907,0.12278998,-0.3345826,-0.15291278,-0.46265543,0.17685696,0.4288859,0.5937767,0.6750153,0.39069998,0.09575906,-1.5841812,-0.70888925,0.45165488,-0.86373806,-0.38309693,0.47056636,0.16419657,0.62956685,-0.42251176,0.10615619,-0.3837216,0.029691555,0.019300105,-0.088465475,-0.44118893,0.40592197,0.26501867,-0.14209548,0.4152383,-0.15110633,0.20027304,0.3711573,-0.3434277,0.36323345,0.31421617,-0.046284124,0.42963272,-0.043691795,0.49314943,0.78455734,0.33405223,-0.07362075,-0.2909488,-0.040172864,-0.93707645,-0.6394256,0.4998244,-1.1380554,-0.6858661,-0.62017065,-0.8795626
0.7677901,0.3175349,0.18859854,0.30631357,0.28872094,-0.78632283,-0.48292327,0.45047545,-0.55008626,-0.3277121,0.31563127,-0.84329087,0.23447926,0.12717158,-0.287607,-0.030161547,-0.44525036,0.26887405,0.32943746,0.3618682,0.8924481,-0.07962808,0.5012289,-0.98305714,-0.42330098,0.27614677,-0.56976664,-0.105446726,0.4811242,0.27825317,-0.0102947885,-0.1586904,-0.05522242,-0.18452042,0.050051875,-0.09764286,-0.1622043,0.23211029,0.2367109,0.13678758,0.016051674,0.21575986,-0.45674372,-0.096397065,0.25622162,-0.38382718,-0.32155427,0.07446911,-0.3154337,0.27974662,0.4103481,0.37394464,0.5660712,0.9943484,0.0858825,0.022381432,-0.011351599,-0.4189499,-0.051332224,0.24883214,-0.5784228,-0.38426885,-0.18306333,-0.89333516
0.8725795,-0.0565802,0.6671305,-0.053903386,-0.16061126,-1.1247783,-0.4434599,0.382944,-0.5853009,-0.7311017,0.55734044,-0.6694001,0.14263947,0.33021322,0.052495245,0.26004204,-0.45197856,-0.104385674,-0.04074141,0.6038871,1.120254,-0.16205992,0.32954758,-1.2171204,-0.480762,0.67955303,-0.55151623,-0.0012251893,0.607922,0.4093788,-0.05722531,-0.47976664,-0.13130443,-0.0059274323,-0.027911294,0.02948068,0.0958456,0.5177116,-0.19627124,0.36305457,-0.099628314,0.017295325,-0.34798458,-0.36394504,0.1338289,-0.42464927,-0.13240768,-0.13876317,-0.22355603,-0.16014045,0.44262245,0.81820524,0.39308116,1.3128395,-0.15585306,-0.059020244,-0.05257203,-0.6709362,0.22217795,0.5021504,-0.69580173,0.06897309,0.36343586,-1.0257119
1.0447934,0.6176926,-0.11766135,0.2325764,-0.2135872,-0.73549145,-0.5719534,0.41583386,-0.9480561,-0.195916,0.62593704,-1.2822162,0.40086073,0.01520707,-0.3088506,-0.009742039,-0.49020728,0.12497213,0.3942521,0.6723878,0.7174601,0.29330662,0.24459936,-1.2162725,-0.60656565,0.36494705,-0.88319546,-0.5166444,0.5275904,0.08202312,0.49244556,-0.26908177,0.3644972,-0.41627157,0.12571372,0.15327853,-0.2267464,-0.4848452,0.42210418,0.2625493,-0.07949228,0.5318714,-0.17709695,0.2790257,0.4096537,-0.12417542,0.18638551,0.32079586,-0.054617,0.7061569,-0.0048904275,0.5112938,0.76433486,0.38569856,-0.024555495,-0.14770725,0.23915209,-0.809287,-0.39908117,0.3339857,-1.0657152,-0.8252808,-0.70607835,-0.85781324
0.80602103,0.3065836,0.06175144,0.30323908,0.23118274,-0.83686745,-0.6280379,0.3933969,-0.620188,-0.26306534,0.32736295,-0.7462362,0.23432425,0.043754447,-0.23178814,-0.10025167,-0.4283373,0.27464154,0.21695879,0.38637006,0.9040172,-0.091251075,0.45247856,-1.008534,-0.40536878,0.22227663,-0.566353,-0.17347765,0.4577705,0.26011366,0.0041155466,-0.16117641,0.07629264,-0.26594743,0.14020823,-0.02528754,-0.27885297,0.097883865,0.2882963,0.093299046,-0.055960897,0.22937094,-0.32264608,-0.08694341,0.29766056,-0.39507174,-0.2897938,0.05377827,-0.2618329,0.33270928,0.35689735,0.32286692,0.68417627,0.85616285,0.18557633,0.00822622,-0.045875963,-0.4406009,-0.13491094,0.17085598,-0.5595633,-0.3493294,-0.2935747,-0.89714086
0.7204341,0.5394108,0.0071091773,0.50937706,-0.15779138,-1.006783,-0.80960995,0.29467875,-0.39441705,-0.046045765,0.8185318,-0.79243445,0.34913158,0.20780922,-0.41243315,-0.3406379,-0.52847004,0.40254426,0.3558056,0.45150477,0.809562,0.19206275,0.28003836,-1.6469222,-0.3701739,0.44948375,-0.91795444,-0.3597399,0.4562302,0.01797845,0.38082087,-0.54267156,0.40697846,-0.47993875,0.18304221,-0.066326305,-0.27965578,-0.560628,0.45162106,-0.008559316,-0.19950368,0.40056822,-0.24777341,-0.20608303,0.34115648,-0.48186445,0.25001404,-0.11112619,-0.35307255,0.31933072,0.25394157,0.27768102,0.953154,0.36424056,0.13200592,-0.12437479,0.019075306,-0.82908344,-0.38341492,-0.3866253,-1.1414436,-0.48152056,-0.5569133,-1.2731639
0.7743837,0.603434,-0.2346397,0.27616456,-0.12917955,-0.5076994,-0.6519724,0.1914219,-0.25989246,-0.14162312,0.6903001,-1.2058856,0.08214001,0.12073409,-0.41154924,-0.21275754,-0.5865504,0.08056948,0.32269073,0.5917332,0.6730222,0.38864133,0.0013986457,-1.4459503,-0.6974603,0.44422236,-0.88293576,-0.33665186,0.5003409,0.24417707,0.6735128,-0.35890305,0.3802238,-0.10900768,-0.005387497,0.16720231,0.02169801,-0.30925685,0.27666283,0.15407495,-0.20179382,0.3636882,-0.22934455,0.29610547,0.25224552,-0.38669565,0.36687276,0.37126842,-0.17756192,0.48825303,0.064779684,0.5747421,0.8407276,0.4762135,-0.27658838,-0.45340857,0.027617797,-0.952115,-0.41858345,0.26427248,-1.2944416,-0.8242023,-0.5698381,-0.895678
1.0947412,0.18506871,0.64636844,0.14436197,0.60212994,-1.0071528,-0.8107139,0.24885377,-0.2744685,-0.5772766,0.3015048,-1.1070002,0.57447374,-0.1836526,0.22785003,0.5527238,-0.5251401,-0.07946366,-0.1986964,1.0365679,1.3329215,0.2898214,0.11041445,-0.7728406,-0.07618225,0.45949337,-0.26816875,0.3000023,0.4980846,0.21601295,-0.029824285,0.3116684,0.40140706,-0.32901448,-0.2761577,-0.32601625,-0.4996537,-0.031624235,-0.106823154,-0.028600449,-0.17851508,0.45490378,-0.1718468,0.073181435,0.06954386,-0.79386276,-0.46996638,0.21236813,0.18009576,0.10756739,-0.18839437,0.6149989,0.7469067,0.99304754,-0.33077466,0.20812389,-0.18562478,-0.34135357,-0.31451243,0.535423,-0.39558297,0.011783187,-0.054052167,-0.90687793
0.81764776,-0.37856337,0.6707343,0.21774784,0.22156681,-0.9944646,-0.906595,0.40642342,-0.34869733,-0.3171387,0.014407397,-0.91696316,0.16249989,0.20370778,0.15645319,0.16690573,-0.7625544,-0.029911773,0.17010818,0.20628744,1.7637485,0.46279454,0.70823246,-1.4271576,-0.57048994,0.7913305,-0.5560865,0.06111375,0.5588318,0.50939524,-0.065328985,-0.2514226,-0.16573837,-0.32546157,-0.098192036,-0.5829062,-0.4563657,-0.030552244,0.4881407,0.26879996,0.42628163,0.64668477,-0.37419978,-0.006435271,0.3915847,-0.39580205,0.4786748,0.058730956,-0.046038505,-0.111836046,0.4831831,0.55487233,0.7351657,1.3647256,0.3427972,-0.23054285,-0.23756284,-0.07267554,-0.25341696,0.6163988,-0.38485742,-0.4986268,-0.2536403,-0.64071405
0.8807161,0.51160854,0.1627396,0.31831095,0.15527426,-1.0327126,-0.20241937,0.91262037,-0.89643174,-0.07966017,0.4558184,-0.7870406,0.579222,0.24345759,-0.7886954,0.39138564,-0.31683725,0.68820536,0.9008621,0.47198367,0.8082326,-0.5433047,0.66460586,-1.8709985,-0.7464659,0.6755041,-0.6930818,-0.14338909,0.076261684,-0.06980795,0.44311115,-0.07327609,-0.48032665,-0.3971214,-0.18732226,-0.5567359,-0.47542858,-0.21970725,0.20342652,0.074404046,0.19108993,0.22451915,-0.73755074,-0.3048772,0.53351325,-0.60566753,-0.020579306,-0.4869592,-0.26241148,-0.044785753,-0.016694574,0.37434226,0.08938634,0.66146123,0.70226026,0.33212212,0.042907495,-0.66703206,-0.7272574,0.349211,-0.9695064,-0.21171175,-0.4859186,-1.0501686
